7
Zero R
K-Nearest Neighbors
Logistic Regression
Multi-nomial Naïve Bayes
Random Forest
Support Vector Machine
Multi-Layer Perceptron
    crude_humor_language | 0.6615  | 0.4605  | 0.4614  | 0.4581  | 0.6868  | 0.6615  | 0.6717  | 0.5145  |
drug_alcohol_tobacco_use | 0.6677  | 0.3233  | 0.3582  | 0.3396  | 0.5967  | 0.6677  | 0.6298  | 0.4105  |
                 kissing | 0.8241  | 0.8254  | 0.7080  | 0.7363  | 0.8245  | 0.8241  | 0.8052  | 0.1759  |
               profanity | 0.6669  | 0.6479  | 0.5468  | 0.5509  | 0.6867  | 0.6669  | 0.6570  | 0.4269  |
                  nudity | 0.7045  | 0.6884  | 0.4375  | 0.4521  | 0.7104  | 0.7045  | 0.6842  | 0.3690  |
        sex_and_intimacy | 0.5285  | 0.6394  | 0.5278  | 0.5393  | 0.6444  | 0.5285  | 0.5475  | 0.6357  |
     violence_and_horror | 0.6349  | 0.4973  | 0.5036  | 0.4960  | 0.6128  | 0.6349  | 0.6186  | 0.4027  |
  gay_lesbian_characters | 0.8929  | 0.2976  | 0.3333  | 0.3145  | 0.7972  | 0.8929  | 0.8424  | 0.1892  |
                 overall | 0.6841  | 0.7132  | 0.5992  | 0.6349  | 0.7064  | 0.6841  | 0.6805  | 0.3683  |
                 Average | 0.6976  | 0.5475  | 0.4846  | 0.4858  | 0.6949  | 0.6976  | 0.6821  | 0.3905  |
    crude_humor_language | 0.5981  | 0.4302  | 0.4278  | 0.4222  | 0.6434  | 0.5981  | 0.6146  | 0.6669  |
drug_alcohol_tobacco_use | 0.6271  | 0.4433  | 0.3351  | 0.3258  | 0.6088  | 0.6271  | 0.5881  | 0.4887  |
                 kissing | 0.7529  | 0.6830  | 0.6358  | 0.6477  | 0.7325  | 0.7529  | 0.7349  | 0.2471  |
               profanity | 0.5629  | 0.5088  | 0.4454  | 0.4378  | 0.5776  | 0.5629  | 0.5529  | 0.6763  |
                  nudity | 0.6239  | 0.3166  | 0.3251  | 0.3068  | 0.5617  | 0.6239  | 0.5841  | 0.6231  |
        sex_and_intimacy | 0.4050  | 0.5835  | 0.4063  | 0.3936  | 0.5854  | 0.4050  | 0.4065  | 0.8874  |
     violence_and_horror | 0.5794  | 0.5856  | 0.4778  | 0.4777  | 0.5800  | 0.5794  | 0.5666  | 0.5145  |
  gay_lesbian_characters | 0.8913  | 0.4313  | 0.3387  | 0.3266  | 0.8301  | 0.8913  | 0.8445  | 0.1931  |
                 overall | 0.5973  | 0.6338  | 0.5226  | 0.5496  | 0.6308  | 0.5973  | 0.5871  | 0.4887  |
                 Average | 0.6301  | 0.4978  | 0.4240  | 0.4173  | 0.6399  | 0.6301  | 0.6115  | 0.5371  |
    crude_humor_language | 0.5598  | 0.4052  | 0.3932  | 0.3885  | 0.6063  | 0.5598  | 0.5701  | 0.8014  |
drug_alcohol_tobacco_use | 0.5895  | 0.4067  | 0.3119  | 0.2995  | 0.5679  | 0.5895  | 0.5504  | 0.5739  |
                 kissing | 0.7654  | 0.7050  | 0.7050  | 0.7050  | 0.7654  | 0.7654  | 0.7654  | 0.2346  |
               profanity | 0.5911  | 0.5853  | 0.4840  | 0.4901  | 0.6165  | 0.5911  | 0.5837  | 0.6263  |
                  nudity | 0.6497  | 0.5883  | 0.3982  | 0.4294  | 0.6371  | 0.6497  | 0.6230  | 0.5950  |
        sex_and_intimacy | 0.4605  | 0.5311  | 0.4364  | 0.4507  | 0.5235  | 0.4605  | 0.4685  | 1.0367  |
     violence_and_horror | 0.5395  | 0.6081  | 0.4398  | 0.4414  | 0.5625  | 0.5395  | 0.5284  | 0.5754  |
  gay_lesbian_characters | 0.8890  | 0.3720  | 0.3378  | 0.3257  | 0.8157  | 0.8890  | 0.8432  | 0.1931  |
                 overall | 0.5927  | 0.6282  | 0.5494  | 0.5681  | 0.6141  | 0.5927  | 0.5849  | 0.4863  |
                 Average | 0.6306  | 0.5252  | 0.4383  | 0.4413  | 0.6369  | 0.6306  | 0.6166  | 0.5796  |
    crude_humor_language | 0.6849  | 0.4689  | 0.4741  | 0.4711  | 0.6881  | 0.6849  | 0.6862  | 0.5356  |
drug_alcohol_tobacco_use | 0.6708  | 0.4409  | 0.3707  | 0.3616  | 0.6482  | 0.6708  | 0.6411  | 0.4191  |
                 kissing | 0.8468  | 0.8235  | 0.7725  | 0.7918  | 0.8418  | 0.8468  | 0.8402  | 0.1532  |
               profanity | 0.7005  | 0.6477  | 0.6014  | 0.6159  | 0.6931  | 0.7005  | 0.6929  | 0.4073  |
